email,timestamp,which_phase,strategy,low_0_5,low_5_10,low_avg,high_0_5,high_5_10,high_avg,comments_low,comments_high
LuTtu2Lt+CllWe4dhE2MWGIGuqjkswzsYJz26M6l8mo=,2025-06-06T11:49:59Z,1,a_productivity,1,4,2.5,3,5,4,tium sapien vel iaculis libero diam semper m,tium sapien vel iaculis libero diam semper m
Sdrzf/pZoefuk7wvGQxWHgyQi+sSE+T1loCbIwdOIxc=,2025-06-09T11:33:33Z,1,a_productivity,0,0,0,0,0,0,titor porttitor blandit odio ante pretium sapien vel iaculis libero diam semper magna Cras sagittis ac sapien a,titor porttitor blandit odio ante pretium sapien vel iaculis libero diam semper magna Cras sagittis ac sapien a
WobwVaJe2ODQ3Xj+U2PDcL1NuO2S1UcsHf0qpcQnkUY=,2025-06-09T12:10:20Z,1,a_productivity,0,0,0,0,0,0, ante pretium sapien vel iaculis libero diam semper magna. Cras sagittis ac sapien a, ante pretium sapien vel iaculis libero diam semper magna. Cras sagittis ac sapien a
YGDkWRpa8VYYl4dR6r5QElvVSF3QnTGNJoxlkdI+a7M=,2025-06-06T11:49:29Z,1,a_productivity,-0.5,2,0.75,3,9,6,ibulum porta magna ac tempus ante,ibulum porta magna ac tempus ante
eZGy4FRtF3VMVKj8VbDzBTboQubOO52tIqYJVOij0lE=,2025-06-06T11:48:52Z,1,a_productivity,1,3,2,5,6,5.5, at molestie ante, at molestie ante
iKjzKZBLDvcEt1ED7kkKR0Iaxgij+VeK0tl0X6xYlFw=,2025-06-09T12:06:34Z,1,a_productivity,0.5,2,1.25,2,6,4,uspendisse sit amet gravida urna. Sed sit ,uspendisse sit amet gravida urna. Sed sit 
R0yr4xfkCQdYxEnl1uD5NTVdlsI6AHJiYCdNUz+vslA=,2025-06-06T11:49:59Z,1,a_productivity,0.3,0.3,0.3,2,2,2,Mauris sed pellentesque nis,Mauris sed pellentesque nis
udP6JlomgcOAUdreKb8+9bXWIq+eQ6pw2shdTr9KOx8=,2025-06-09T11:33:33Z,1,a_productivity,0.1,0.1,0.1,1.1,1.1,1.1,Suspendisse sit amet gravida urna,Suspendisse sit amet gravida urna
kt0X4XUxsyFVaz2sOkSgi05NyHHBIeSfQ0SvMOaAc5E=,2025-06-09T12:10:20Z,1,a_productivity,0,0,0,3,3,3,"estibulum at molestie ante, vitae fermentum nis","estibulum at molestie ante, vitae fermentum nis"
D++ZUl2i4tVdvwv97RtCwQa3YuXUaph08yODLtJxhkA=,2025-06-06T11:49:29Z,1,a_productivity,-2,-2,-2,0.1,0.1,0.1,"n sapien semper mollis. Integer ut orci dignissim sodales purus eget, euismod turpis. Mo","n sapien semper mollis. Integer ut orci dignissim sodales purus eget, euismod turpis. Mo"
C9MrKnrg/vpQ/TR3cLc+T/lVfgtR034WKjylah+Zz3k=,2025-06-06T11:48:52Z,1,a_productivity,0,0,0,2,2,2,e non sagittis sem. Etiam ornare ipsum non magna fringilla euismo Integer lectus felis so,e non sagittis sem. Etiam ornare ipsum non magna fringilla euismo Integer lectus felis so
LShWMj92YL5hXgI5g9kmkisQxa/xcOyKNi6VZEbSB+8=,2025-06-09T12:06:34Z,1,a_productivity,1,1,1,2.6,2.6,2.6,es. In eu diam elit. Maecenas eget liber,es. In eu diam elit. Maecenas eget liber
QLXb9MsjUQEKh8VfJEJ+J9cV77s5drMfKohH1bXfoc4=,2025-06-06T11:48:52Z,1,a_productivity,1,1,1,3.5,3.5,3.5,Vestibulum at molestie ante vitae fermentum nisl. Aenea,Vestibulum at molestie ante vitae fermentum nisl. Aenea
CDnVN2FSNIR6a6cyhd8Gt7O12m5CiquhhqPu64foG60=,2025-06-09T12:06:34Z,1,a_productivity,1.3,1.3,1.3,1.6,1.6,1.6,iverra sagittis massa venenati,iverra sagittis massa venenati
