email,timestamp,which_phase,strategy,low_0_5,low_5_10,low_avg,high_0_5,high_5_10,high_avg,comments_low,comments_high
WobwVaJe2ODQ3Xj+U2PDcL1NuO2S1UcsHf0qpcQnkUY=,2025-06-06T11:49:59Z,1,a_productivity,1,4,2.5,3,5,4,tium sapien vel iaculis libero diam semper m,tium sapien vel iaculis libero diam semper m
AK+d/UIac82/Lco06ftWcHZ6skh4iy6xqPkMsWTSu1c=,2025-06-09T11:33:33Z,1,a_productivity,0,0,0,0,0,0,titor porttitor blandit odio ante pretium sapien vel iaculis libero diam semper magna Cras sagittis ac sapien a,titor porttitor blandit odio ante pretium sapien vel iaculis libero diam semper magna Cras sagittis ac sapien a
LWJd9+AMlbY8vvZOTGm66fFCFN3Pd0voeLcH9eD++qU=,2025-06-09T12:10:20Z,1,a_productivity,0,0,0,0,0,0, ante pretium sapien vel iaculis libero diam semper magna. Cras sagittis ac sapien a, ante pretium sapien vel iaculis libero diam semper magna. Cras sagittis ac sapien a
u3r2JhSahvpJSIx9UGXgkWyCr1twgjcJxGifPH7zgWU=,2025-06-06T11:49:29Z,1,a_productivity,-0.5,2,0.75,3,9,6,ibulum porta magna ac tempus ante,ibulum porta magna ac tempus ante
NBDjZvekxC5a8rGhwgqbbN8t7f2hXS5U7fABTvusddk=,2025-06-06T11:48:52Z,1,a_productivity,1,3,2,5,6,5.5, at molestie ante, at molestie ante
j5+6ZneOP2E0W6jd1xkBQdeY7/D1vlEvnQNtyefCbWg=,2025-06-09T12:06:34Z,1,a_productivity,0.5,2,1.25,2,6,4,uspendisse sit amet gravida urna. Sed sit ,uspendisse sit amet gravida urna. Sed sit 
Ro1I5D0po3bWCfQu/ZMDQ2psjrNdHsUpIjvGLrMkQ0Q=,2025-06-06T11:49:59Z,1,a_productivity,0.3,0.3,0.3,2,2,2,Mauris sed pellentesque nis,Mauris sed pellentesque nis
MyCFd3mv5y/pUaO7EiD2mzT/MzckaS1opS1t/heNCKQ=,2025-06-09T11:33:33Z,1,a_productivity,0.1,0.1,0.1,1.1,1.1,1.1,Suspendisse sit amet gravida urna,Suspendisse sit amet gravida urna
BascYLGi4fhK6BA4SY2dOuuXfTyxppb7jnKoBl+TeZI=,2025-06-09T12:10:20Z,1,a_productivity,0,0,0,3,3,3,"estibulum at molestie ante, vitae fermentum nis","estibulum at molestie ante, vitae fermentum nis"
V8tk9mrCcTgJYuV3f4XN9h4YQ5k2sgUcCfG2Ce3ugFc=,2025-06-06T11:49:29Z,1,a_productivity,-2,-2,-2,0.1,0.1,0.1,"n sapien semper mollis. Integer ut orci dignissim sodales purus eget, euismod turpis. Mo","n sapien semper mollis. Integer ut orci dignissim sodales purus eget, euismod turpis. Mo"
E14WfhkT5o9RolP4POqEHlydvKci+K3me8/ZQ6MI+s8=,2025-06-06T11:48:52Z,1,a_productivity,0,0,0,2,2,2,e non sagittis sem. Etiam ornare ipsum non magna fringilla euismo Integer lectus felis so,e non sagittis sem. Etiam ornare ipsum non magna fringilla euismo Integer lectus felis so
VAnsbCyr3JUybp/xk/v5wsh9QZ2yB/soc5rwk3UGs5o=,2025-06-09T12:06:34Z,1,a_productivity,1,4,2.5,3,5,4,es. In eu diam elit. Maecenas eget liber,es. In eu diam elit. Maecenas eget liber
1ixxhpebDONOqEr/AyzChehAexg8oHcxpPU1+3kbSdM=,2025-06-06T11:48:52Z,1,a_productivity,0,0,0,0,0,0,Vestibulum at molestie ante vitae fermentum nisl. Aenea,Vestibulum at molestie ante vitae fermentum nisl. Aenea
OUlLAhNM2xIMA6qTTESENHnzPY3IIvR5jKqrec3ttBY=,2025-06-09T12:06:34Z,1,a_productivity,0,0,0,0,0,0,iverra sagittis massa venenati,iverra sagittis massa venenati
uWb/GwJofXdWiIuINj+XqIUgJQWvHNCfwOaomyks3Lc=,2025-06-09T11:33:33Z,1,a_productivity,-0.5,2,0.75,3,9,6,"n sapien semper mollis. Integer ut orci dignissim sodales purus eget, euismod turpis. Mo","n sapien semper mollis. Integer ut orci dignissim sodales purus eget, euismod turpis. Mo"
cpGirrXCqwRK2ssoiGj62zPi057dBRUDJ6DCdCg3jRc=,2025-06-09T12:10:20Z,1,a_productivity,1,3,2,5,6,5.5,e non sagittis sem. Etiam ornare ipsum non magna fringilla euismo Integer lectus felis so,e non sagittis sem. Etiam ornare ipsum non magna fringilla euismo Integer lectus felis so
